"﻿AREA TERRITORIAL";"CODIGO CENTRO";"TIPO DE CENTRO";"CENTRO";"DOMICILIO";"MUNICIPIO";"DISTRITO MUNICIPAL";"COD. POSTAL";"TELEFONO";"FAX";"TITULARIDAD";"URL";"E-MAIL";"TITULAR";"Total 2014-2015";"Total 2015-2016";"Total 2016-2017";"Total 2017-2018";"Total 2018-2019";"Educación Infantil Especial 2014-2015";"Educación Infantil Especial 2015-2016";"Educación Infantil Especial 2016-2017";"Educación Infantil Especial 2017-2018";"Educación Infantil Especial 2018-2019";"Infantil I Ciclo 2014-2015";"Infantil I Ciclo 2015-2016";"Infantil I Ciclo 2016-2017";"Infantil I Ciclo 2017-2018";"Infantil I Ciclo 2018-2019";"Infantil II Ciclo 2014-2015";"Infantil II Ciclo 2015-2016";"Infantil II Ciclo 2016-2017";"Infantil II Ciclo 2017-2018";"Infantil II Ciclo 2018-2019";"Educación Básica Obligatoria 2014-2015";"Educación Básica Obligatoria 2015-2016";"Educación Básica Obligatoria 2016-2017";"Educación Básica Obligatoria 2017-2018";"Educación Básica Obligatoria 2018-2019";"Primaria 2014-2015";"Primaria 2015-2016";"Primaria 2016-2017";"Primaria 2017-2018";"Primaria 2018-2019";"ESO 2014-2015";"ESO 2015-2016";"ESO 2016-2017";"ESO 2017-2018";"ESO 2018-2019";"Bachillerato 2014-2015";"Bachillerato 2015-2016";"Bachillerato 2016-2017";"Bachillerato 2017-2018";"Bachillerato 2018-2019";"FP GM 2014-2015";"FP GM 2015-2016";"FP GM 2016-2017";"FP GM 2017-2018";"FP GM 2018-2019";"FP GS 2014-2015";"FP GS 2015-2016";"FP GS 2016-2017";"FP GS 2017-2018";"FP GS 2018-2019";"FPB 2014-2015";"FPB 2015-2016";"FPB 2016-2017";"FPB 2017-2018";"FPB 2018-2019";"PCPI: Módulos Voluntarios 2014-2015";"PCPI: Módulos Voluntarios 2015-2016";"PCPI: Módulos Voluntarios 2016-2017";"PCPI: Módulos Voluntarios 2017-2018";"PCPI: Módulos Voluntarios 2018-2019";"PCPI: Especial 2014-2015";"PCPI: Especial 2015-2016";"PCPI: Especial 2016-2017";"PCPI: Especial 2017-2018";"PCPI: Especial 2018-2019";"Programa Formación Transición Vida Adulta 2014-2015";"Programa Formación Transición Vida Adulta 2015-2016";"Programa Formación Transición Vida Adulta 2016-2017";"Programa Formación Transición Vida Adulta 2017-2018";"Programa Formación Transición Vida Adulta 2018-2019";"Programas Profesionales Modalidad Especial 2014-2015";"Programas Profesionales Modalidad Especial 2015-2016";"Programas Profesionales Modalidad Especial 2016-2017";"Programas Profesionales Modalidad Especial 2017-2018";"Programas Profesionales Modalidad Especial 2018-2019";"lat";"lng"
"Madrid-Oeste";"28060646";"EEI";"ACHALAY";"Avenida De Isabel De Farnesio, 14 ";"Boadilla del Monte";"-";"28660";"916326518";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28060646";"eei.achalay.boadilla@educa.madrid.org";"";"125";"119";"120";"116";"125";"";"";"";"";"";"125";"119";"120";"116";"125";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.40437";"-3.88754"
"Madrid-Este";"28063027";"EEI";"ACUARELA";"Avenida Del Somorrostro, 193 ";"San Fernando de Henares";"-";"28830";"916694580";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28063027";"eei.acuarela.sanfernando@educa.madrid.org";"";"65";"78";"79";"77";"80";"";"";"";"";"";"65";"78";"79";"77";"80";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4142021";"-3.5215714"
"Madrid-Sur";"28047460";"EEI";"ADIVINANZAS";"Calle De Las Palmeras, 1 ";"Alcorcón";"-";"28922";"911886061";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28047460";"eei.adivinanzas.alcorcon@educa.madrid.org";"";"50";"91";"124";"117";"128";"";"";"";"";"";"50";"91";"124";"117";"128";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3414344";"-3.8357726"
"Madrid-Capital";"28047551";"EEI";"AGUA DULCE";"Calle De Leñeros, 25 ";"Madrid";"Tetuán";"28039";"914594049";"914594049";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28047551";"eei.aguadulce.madrid@educa.madrid.org";"";"91";"96";"96";"";"";"";"";"";"";"";"91";"96";"96";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4539269";"-3.7094672"
"Madrid-Sur";"28044100";"EEI";"AILANTOS";"Plaza Duque De Ahumada, S/n ";"Valdemoro";"-";"28341";"918955900";"918955900";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28044100";"eei.ailantos.valdemoro@educa.madrid.org";"";"119";"116";"110";"115";"115";"";"";"";"";"";"119";"116";"110";"115";"115";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.189136";"-3.6805184"
"Madrid-Capital";"28043405";"EEI";"ALBAICIN";"Calle De Albaicín, 1 ";"Madrid";"Usera";"28041";"913171194";"913171194";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28043405";"eei.albaicin.madrid@educa.madrid.org";"";"75";"86";"91";"90";"104";"";"";"";"";"";"75";"86";"91";"90";"104";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3681959";"-3.701674799999999"
"Madrid-Capital";"28043417";"EEI";"ALFAR";"Calle De Gerardo Diego, 9-b ";"Madrid";"Puente de Vallecas";"28018";"917773745";"917773745";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28043417";"eei.alfar.madrid@educa.madrid.org";"";"90";"88";"83";"101";"102";"";"";"";"";"";"90";"88";"83";"101";"102";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3849409";"-3.6430946"
"Madrid-Capital";"28067665";"EEI";"ALTAIR";"Calle De José De Cadalso, 43 ";"Madrid";"Latina";"28044";"917652101";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28067665";"eei.altair.madrid@educa.madrid.org";"";"95";"111";"116";"";"";"";"";"";"";"";"95";"111";"116";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3783016";"-3.768558999999999"
"Madrid-Capital";"28047861";"EEI";"AMADEO VIVES";"Calle De Los Yébenes, 6 ";"Madrid";"Latina";"28047";"915099954";"915099954";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28047861";"cn.amadeovives.madrid@educa.madrid.org";"";"68";"68";"68";"68";"69";"";"";"";"";"";"68";"68";"68";"68";"69";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.397443";"-3.7553792"
"Madrid-Capital";"28070913";"EEI";"AMANECER";"Calle Del Titanio, 7 ";"Madrid";"Vicálvaro";"28032";"917765069";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28070913";"eei.amanecer.madrid@educa.madrid.org";"";"116";"118";"117";"";"";"";"";"";"";"";"116";"118";"117";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4018838";"-3.601560199999999"
