"﻿AREA TERRITORIAL";"CODIGO CENTRO";"TIPO DE CENTRO";"CENTRO";"DOMICILIO";"MUNICIPIO";"DISTRITO MUNICIPAL";"COD. POSTAL";"TELEFONO";"FAX";"TITULARIDAD";"URL";"E-MAIL";"restaurant (nearest)";"restaurant address";"restaurant latitude";"restaurant longitude";"distance"
"Madrid-Oeste";"28060646";"EEI";"ACHALAY";"Avenida De Isabel De Farnesio, 14 ";"Boadilla del Monte";"-";"28660";"916326518";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28060646";"eei.achalay.boadilla@educa.madrid.org";"Rodilla Boadilla dl Monte";"Av. del Infante Don Luis 10, 28660, BOADILLA DEL MONTE";"40.406064";"-3.896661";"0.796776540246347"
"Madrid-Este";"28063027";"EEI";"ACUARELA";"Avenida Del Somorrostro, 193 ";"San Fernando de Henares";"-";"28830";"916694580";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28063027";"eei.acuarela.sanfernando@educa.madrid.org";"Rodilla Plenilunio";"CC.Plenilunio, Aracne local 210 2ª  Planta, 28022, MADRID";"40.447127";"-3.587358";"6.6730197778197615"
"Madrid-Sur";"28047460";"EEI";"ADIVINANZAS";"Calle De Las Palmeras, 1 ";"Alcorcón";"-";"28922";"911886061";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28047460";"eei.adivinanzas.alcorcon@educa.madrid.org";"Rodilla Tres Aguas";"Avda San Martin de Valdeiglesias 24 Local 132, 28922, MADRID";"40.357282";"-3.834849";"1.7614874863691345"
"Madrid-Capital";"28047551";"EEI";"AGUA DULCE";"Calle De Leñeros, 25 ";"Madrid";"Tetuán";"28039";"914594049";"914594049";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28047551";"eei.aguadulce.madrid@educa.madrid.org";"Rodilla Bravo Murillo 231";"C/ Bravo Murillo 231, 28020, Madrid";"40.457576";"-3.701633";"0.7783223684418424"
"Madrid-Sur";"28044100";"EEI";"AILANTOS";"Plaza Duque De Ahumada, S/n ";"Valdemoro";"-";"28341";"918955900";"918955900";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28044100";"eei.ailantos.valdemoro@educa.madrid.org";"Rodilla Valdemoro";"C/ Estrella de Elola 12, 28340, VALDEMORO";"40.19156";"-3.678167";"0.33546987074693"
"Madrid-Capital";"28043405";"EEI";"ALBAICIN";"Calle De Albaicín, 1 ";"Madrid";"Usera";"28041";"913171194";"913171194";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28043405";"eei.albaicin.madrid@educa.madrid.org";"Rod. Sodexo Doce Octubre";"Hosp.Univ.12 de Octubre, Avda. de Córdoba s/n, 28041, Madrid";"40.374806";"-3.69775";"0.8061396884436587"
"Madrid-Capital";"28043417";"EEI";"ALFAR";"Calle De Gerardo Diego, 9-b ";"Madrid";"Puente de Vallecas";"28018";"917773745";"917773745";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28043417";"eei.alfar.madrid@educa.madrid.org";"Rodilla Mendez Alvaro";"CC. Mendez Alvaro C/ Retama 8, 28042, Madrid";"40.395028";"-3.675646";"2.9821576368245597"
"Madrid-Capital";"28067665";"EEI";"ALTAIR";"Calle De José De Cadalso, 43 ";"Madrid";"Latina";"28044";"917652101";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28067665";"eei.altair.madrid@educa.madrid.org";"Rodilla Plaza Aluche";"CC Plz Aluche, Avda. de los Poblados, 58 PB L B-54, 28044, Madrid";"40.386261";"-3.7647864";"0.9400943453206518"
"Madrid-Capital";"28047861";"EEI";"AMADEO VIVES";"Calle De Los Yébenes, 6 ";"Madrid";"Latina";"28047";"915099954";"915099954";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28047861";"cn.amadeovives.madrid@educa.madrid.org";"Rodilla Campamento";"Carrefour Market, Avd. Padre Piquer S/N, 28024, MADRID";"40.394811";"-3.767733";"1.0887772071025248"
"Madrid-Capital";"28070913";"EEI";"AMANECER";"Calle Del Titanio, 7 ";"Madrid";"Vicálvaro";"28032";"917765069";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28070913";"eei.amanecer.madrid@educa.madrid.org";"Rodilla CC Las Rosas";"CC Las Rosas, Avda de Guadalajara 2 PA Local A5/T5, 28032, Madrid";"40.417969";"-3.621207";"2.4436295772961882"
"Madrid-Capital";"28072004";"EEI";"ANA DE AUSTRIA";"Calle De Ana De Austria, 32 ";"Madrid";"Hortaleza";"28050";"917500832";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28072004";"eei.anadeaustria.madrid@educa.madrid.org";"Rodilla Sanchinarro";"C.C. Sanchinarro, C/ Margarita de Parma, 1, 28050, Madrid";"40.497603";"-3.661033";"0.5328694776274234"
"Madrid-Sur";"28044161";"EEI";"ANDERSEN";"Avenida De Viña Grande, 2 ";"Alcorcón";"-";"28925";"914880205";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28044161";"eei.andersen.alcorcon@educa.madrid.org";"Rodilla Valderas";"C.C. San José de Valderas, A-5, KM 12.5  PB, 28925, Alcorcon";"40.357736";"-3.816295";"1.214232028776922"
"Madrid-Este";"28068098";"EEI";"ANTON PIRULERO";"Calle Puerto De Bilbao, S/n ";"Coslada";"-";"28821";"916731099";"912973728";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068098";"eei.antonpirulero.coslada@educa.madrid.org";"Rodilla Niza";"Av Niza 67, 28022, Madrid";"40.43453";"-3.608328";"3.4197339052630316"
"Madrid-Capital";"28079621";"EEI";"ANTONIO MERCERO";"Avenida De Valladolid, 49b ";"Madrid";"-";"28008";"-";"-";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28079621";"null";"Rodilla Moncloa";"Interc. Moncloa  C/ Princesa, 89 - L3 - mod. B, 28009, MADRID";"40.435554";"-3.719187";"1.2484553834577683"
"Madrid-Capital";"28062643";"EEI";"ARCE";"Calle Del Alcalde Garrido Juaristi, 6 ";"Madrid";"Moratalaz";"28030";"913285820";"913285820";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28062643";"eei.arce.madrid@educa.madrid.org";"Rodilla Conde Casal";"C/ Doctor Esquerdo, 173, 28007, MADRID";"40.407306";"-3.670023";"1.3791342003504619"
"Madrid-Capital";"28043454";"EEI";"ARCO IRIS";"Calle De Diego Olivera Victorio, 10 ";"Madrid";"Villa de Vallecas";"28031";"913311422";"913311422";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28043454";"eei.arcoiris.madrid@educa.madrid.org";"Rodilla La Gavia";"C.C. La Gavia local A005, planta alta. c/ Adolfo Bioy Casares s/n, 28105, MADRID";"40.368854";"-3.598488";"2.0633393035069463"
"Madrid-Este";"28049055";"EEI";"ARCO IRIS";"Calle Valverde De Alcala, 1 ";"Alcalá de Henares";"-";"28806";"918811481";"918811481";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28049055";"eei.arcoiris.alcala@educa.madrid.org";"Rodilla Via Complutense";"Vía Complutense, 35, 28802, Alcala de Henares  MADRID";"40.485322";"-3.364744";"0.676207795122705"
"Madrid-Sur";"28065292";"EEI";"ARTE";"Calle Mezquita, 36 ";"Getafe";"-";"28903";"916843528";"916962941";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28065292";"eei.arte.getafe@educa.madrid.org";"Rodilla ECI Bercial";"Avda. Comandante Jose Manuel Ripolle,s 2, 28903, Madrid";"40.330063";"-3.727416";"1.8862485245382525"
"Madrid-Oeste";"28068037";"EEI";"ASERRIN ASERRAN";"Calle Castillo De Atienza, 4 ";"Rozas de Madrid, Las";"-";"28232";"916365929";"916365929";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068037";"eei.aserrinaserran.lasrozas@educa.madrid.org";"Rodilla Camilo Jose Cela";"C/ Camilo Jose Cela, 3, 28232, LAS ROZAS";"40.520154";"-3.8968";"1.382031896925678"
"Madrid-Capital";"28043740";"EEI";"BÄRBEL INHELDER";"Carretera De Colmenar, K15 ";"Madrid";"Fuencarral-El Pardo";"28049";"914972303";"914972301";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28043740";"eei.barbelinhelder.madrid@educa.madrid.org";"Rodilla Montecarmelo";"CC Montecarmelo  C/ Monasterio Arlanza Nº 20, 28049, Madrid";"40.510216";"-3.690573";"2.0352962827710877"
