"latitude";"longitude";"phone";"address";"name"
"40.416727";"-3.703387";"669148462";"Puerta del Sol, 3 Madrid";"VIPS Sol"
"40.418099";"-3.699208";"638582793";"Calle de Alcalá, 23 Madrid";"VIPS Peligros"
"40.420603";"-3.706826";"638585894";"Calle Gran Vía, 43 Madrid";"VIPS Gran Vía"
"40.422613";"-3.709985";"638590854";"Calle Gran Vía, 65 Madrid";"VIPS Plaza de España"
"40.414981";"-3.694886";"638590812";"Plaza de Cánovas del Castillo, 5 Madrid";"VIPS Neptuno"
"40.419804";"-3.691479";"638583682";"Calle de Alcalá, 57 Madrid";"VIPS Cibeles"
"40.405747";"-3.700939";"911751184";"Ronda de Valencia, 8 Madrid";"VIPS Ronda de Valencia 8"
"40.427931";"-3.702033";"638567206";"Calle Fuencarral, 101 Madrid";"VIPS Fuencarral"
"40.425335";"-3.712633";"638568614";"Calle Princesa, 5 Madrid";"VIPS Princesa"
"40.426061";"-3.692047";"638582138";"Calle Génova, 27 Madrid";"VIPS Génova 27"
"40.404714";"-3.706554";"638584868";"Calle de la Ribera de Curtidores, 43 Madrid";"VIPS Ribera Curtidores"
"40.421620";"-3.719969";"638562547";"Paseo de la Florida, 2 (C.C. Príncipe Pío) Madrid";"VIPS Príncipe Pío"
"40.430167";"-3.709991";"911750526";"Calle Alberto Aguilera, 26 Madrid";"VIPS Alberto Aguilera"
"40.433590";"-3.703786";"912752153";"Glorieta de Quevedo, 9 Madrid";"VIPS Quevedo"
"40.428667";"-3.687462";"638587857";"Calle Serrano, 41 Madrid";"VIPS Serrano"
"40.436341";"-3.699537";"910502756";"Calle Santa Engracia, 93 Madrid";"VIPS Smart Santa Engracia 93"
"40.433742";"-3.717565";"650184741";"Calle Arcipreste de Hita, 10 Madrid";"VIPS Moncloa"
"40.424985";"-3.680128";"638582992";"Calle de Goya, 67 Madrid";"VIPS Goya"
"40.430529";"-3.682918";"638588766";"Calle José Ortega y Gasset, 29 Madrid";"VIPS Beatriz"
"40.435281";"-3.691287";"912759411";"Calle de Miguel Ángel, 11 Madrid";"VIPS Miguel Ángel"
"40.407572";"-3.673528";"638589057";"Calle Conde de Cartagena, 18 Madrid";"VIPS Avenida del Mediterráneo"
"40.442753";"-3.713255";"638568543";"Calle Julián Romea, 4 Madrid";"VIPS Julian Romea"
"40.439607";"-3.682541";"638587117";"Calle Velázquez, 136 Madrid";"VIPS Velázquez"
"40.392780";"-3.678742";"638561268";"Calle Méndez Álvaro, 72 Madrid";"VIPS Méndez Álvaro"
"40.448314";"-3.703953";"681331579";"Calle Bravo Murillo, 109 Madrid";"VIPS Bravo Murillo"
